x,Gauss(μ=3λ λ=1),Gauss(μ=3λ λ=1)_transformed,Gauss(μ=6λ λ=1),Gauss(μ=6λ λ=1)_transformed,Gauss(μ=3λ λ=2),Gauss(μ=3λ λ=2)_transformed,Gauss(μ=6λ λ=2),Gauss(μ=6λ λ=2)_transformed
8.598442714126808,6.236766126389783E-08,-0.0714038871520385,0.013638060858069553,-0.15366374296915053,2.7242709744123806E-07,-0.20322325937940797,2.7242709744123806E-07,-0.20322325937940797
8.608453837597331,5.896535567616554E-08,-0.07009500232598312,0.013287198253220837,-0.1538132323678737,2.454558950250916E-07,-0.20460068035302548,2.454558950250916E-07,-0.20460068035302548
8.618464961067854,5.5743067028177745E-08,-0.06874733731147642,0.012944064840428851,-0.15390379253107125,2.210662915939288E-07,-0.205948531393372,2.210662915939288E-07,-0.205948531393372
8.628476084538377,5.269158611987231E-08,-0.06736061930334536,0.012608528906189053,-0.15393501738375137,1.9902034769110586E-07,-0.2072664394215542,1.9902034769110586E-07,-0.2072664394215542
8.638487208008899,4.980215749583616E-08,-0.06593457799604145,0.012280459890254017,-0.153906504921362,1.791011319983112E-07,-0.2085540330484491,1.791011319983112E-07,-0.2085540330484491
8.648498331479422,4.706645802002161E-08,-0.06446894561327077,0.011959728407394612,-0.1538178572438429,1.6111095667085236E-07,-0.2098109426118976,1.6111095667085236E-07,-0.2098109426118976
8.658509454949945,4.447657641366354E-08,-0.06296345693723654,0.011646206268015527,-0.15366868058915895,1.4486975234664567E-07,-0.21103680021361043,1.4486975234664567E-07,-0.21103680021361043
8.668520578420466,4.202499371553625E-08,-0.061417849337491094,0.011339766497641632,-0.1534585853663158,1.3021357256012173E-07,-0.21223123975578695,1.3021357256012173E-07,-0.21223123975578695
8.67853170189099,3.970456462531231E-08,-0.05983186279939571,0.011040283355293657,-0.15318718618785554,1.1699321797730397E-07,-0.21339389697744293,1.1699321797730397E-07,-0.21339389697744293
8.688542825361512,3.750849969234577E-08,-0.05820523995218803,0.010747632350771821,-0.15285410190183224,1.0507297151359458E-07,-0.21452440949044077,1.0507297151359458E-07,-0.21452440949044077
8.698553948832036,3.543034831367946E-08,-0.05653772609665468,0.010461690260864923,-0.15245895562326384,9.432943600319025E-08,-0.2156224168152245,9.432943600319025E-08,-0.2156224168152245
8.708565072302559,3.346398250654734E-08,-0.05482906923240703,0.010182335144504413,-0.1520013747650631,8.465046666047663E-08,-0.2166875604162521,8.465046666047663E-08,-0.2166875604162521
8.718576195773082,3.1603581422013267E-08,-0.05307902008475909,0.00990944635688215,-0.15148099106843987,7.593419111062972E-08,-0.21771948373712235,7.593419111062972E-08,-0.21771948373712235
8.728587319243605,2.984361656774061E-08,-0.05128733213120584,0.009642904562551019,-0.15089744063277916,6.808811027086087E-08,-0.21871783223539568,6.808811027086087E-08,-0.21871783223539568
8.738598442714128,2.817883770917359E-08,-0.04945376162750273,0.009382591747527896,-0.15025036394499408,6.102827383681083E-08,-0.2196822534171039,6.102827383681083E-08,-0.2196822534171039
8.74860956618465,2.6604259419655146E-08,-0.047578067633342755,0.00912839123041845,-0.14953940590835024,5.46785245721057E-08,-0.2206123968709479,5.46785245721057E-08,-0.2206123968709479
